966 1720
1 137 24544
1 149 99332
1 436 56368
1 941 76278
1 944 35092
2 621 66875
2 713 68195
3 415 51282
3 482 48154
3 508 8573
3 695 98536
3 827 95216
4 244 67974
4 578 50010
5 44 10474
5 234 82207
5 477 84011
5 519 698
5 661 67025
5 852 63928
5 936 69956
6 338 47053
6 467 2880
6 821 37914
7 248 40004
7 356 18782
7 432 29125
7 607 64263
8 10 46310
8 213 47669
8 524 86863
8 693 39983
8 743 26157
8 841 776
8 873 91611
9 844 76629
9 905 49359
11 322 88696
11 576 23507
11 948 65367
12 176 95138
12 450 97752
12 878 54349
13 298 30978
13 377 82027
13 622 79554
13 764 66961
13 772 36762
14 124 58026
14 136 97876
14 687 35768
15 197 98285
15 542 78210
15 746 58850
15 844 74208
16 20 85596
16 260 9052
16 352 77740
16 683 46606
17 371 67984
17 619 21262
18 506 85488
18 554 49386
18 554 11164
18 772 27296
19 148 99987
19 174 15039
19 413 5258
19 578 64102
20 76 77722
20 482 37208
21 151 45920
21 553 82419
21 585 85552
21 892 71193
22 335 50013
22 483 40288
22 781 18635
22 866 38265
23 69 97526
23 93 62343
23 219 9878
24 728 58034
25 205 61568
26 61 25703
26 238 73500
26 376 53348
26 487 35016
26 489 43282
26 507 20841
27 953 17855
28 43 50515
28 269 11475
28 417 62532
28 519 78864
28 633 6209
28 650 45897
28 665 1377
28 703 33163
28 757 20620
28 886 75838
29 192 14154
29 215 58519
29 571 32187
29 647 79569
29 948 29560
30 244 22152
30 364 92848
30 786 77952
30 966 844
31 749 83252
32 304 15938
32 431 71716
32 700 24155
33 554 10656
33 769 32437
34 150 35310
34 171 66879
34 365 77242
34 366 23534
34 859 85952
34 889 66598
35 44 54344
35 135 54341
35 643 1701
35 792 3812
36 491 65157
36 691 47384
36 704 78820
37 194 35908
37 565 91441
37 904 23454
38 268 25498
38 661 56668
39 789 89684
39 836 25137
40 211 6648
40 467 26135
41 72 91150
41 299 67574
41 375 66957
41 883 89768
42 617 42708
42 637 40166
43 634 61491
44 139 21284
44 918 75510
45 320 8950
45 405 8330
45 551 77676
45 896 6158
46 174 57493
46 866 88364
47 229 90375
47 703 74607
47 711 16206
48 742 70535
48 746 48609
48 884 24300
48 926 80389
49 129 37918
49 188 66175
50 343 61537
50 964 17573
51 322 86868
51 559 45712
51 651 95600
52 109 11225
52 440 46480
52 897 67514
53 422 63874
53 874 95721
54 292 77602
55 103 44975
55 194 40113
55 323 60616
55 346 68351
55 464 7299
55 826 87814
55 957 29039
56 505 49434
56 584 48921
56 895 36035
57 953 80445
58 64 53228
58 205 32791
58 539 37973
58 861 25061
59 149 26895
59 574 96112
59 899 6232
60 288 5183
60 508 95974
61 155 8159
61 342 68247
62 156 40727
62 248 20294
63 272 47127
63 304 82048
63 388 32299
64 95 42653
64 197 33035
64 298 5321
64 573 27524
64 913 58493
65 556 97010
65 950 10552
66 703 29736
66 743 29472
66 931 14697
67 744 46934
68 340 77111
68 844 22106
68 912 12830
69 403 20820
70 318 26679
70 627 98069
71 256 27546
71 767 82728
72 87 1762
72 306 25373
72 500 6826
72 538 60215
72 805 77682
73 232 94944
73 265 39859
73 276 76280
73 576 50433
74 915 770
75 357 26688
75 565 22994
75 571 74884
75 852 12348
76 302 13078
77 367 95765
77 506 72744
77 509 89957
77 688 33657
77 708 52153
77 711 81369
77 800 4439
78 188 75383
78 272 48759
78 730 52854
78 922 272
79 594 65448
79 662 5486
79 668 71515
79 745 10306
80 106 78905
80 181 55477
80 201 90927
80 498 76665
80 581 41355
80 856 34110
80 914 63765
81 114 9517
81 461 79121
81 603 79257
81 643 33822
82 225 90315
82 441 71701
82 641 60841
82 757 98579
83 594 91962
83 637 51327
83 834 58888
84 129 55421
84 487 85878
84 504 35715
84 739 91874
85 272 29438
85 351 77561
85 493 15512
85 502 64633
85 513 4071
85 760 54420
85 770 28615
86 286 62970
86 392 88102
86 808 76022
87 383 56401
88 195 87539
88 399 62680
88 588 65823
88 617 20639
88 637 23195
88 788 24638
