91 141
1 4 19
1 24 15
1 66 69
1 82 87
1 83 47
2 50 16
3 36 61
3 37 55
5 4 95
5 51 90
6 61 25
7 9 8
7 56 22
8 6 35
9 68 44
9 71 30
10 4 78
10 50 58
11 69 3
11 71 36
11 91 9
12 37 64
12 51 32
12 59 52
13 60 50
13 84 87
13 87 7
13 90 86
17 9 51
20 6 1
20 69 72
20 78 94
22 28 70
22 45 97
23 13 10
23 63 36
24 69 78
24 71 36
24 71 33
25 59 86
25 72 94
26 41 94
26 62 28
27 1 21
27 6 36
27 37 75
27 90 1
28 19 48
29 32 43
30 28 37
30 47 73
31 43 86
31 58 74
32 40 30
32 56 75
33 86 94
34 4 71
34 69 3
34 70 67
35 37 92
36 55 47
37 69 28
37 90 62
38 6 49
38 24 71
38 84 8
39 90 2
41 50 80
41 83 61
42 9 26
42 39 77
42 43 88
42 60 44
42 82 60
44 59 2
44 69 90
45 78 83
46 61 21
47 7 82
47 17 15
47 50 61
47 63 100
48 9 27
48 60 43
50 43 5
52 79 56
53 9 58
53 51 13
53 51 48
53 87 63
55 24 84
56 6 10
56 15 92
59 51 12
59 51 41
59 79 35
60 71 94
61 24 82
61 24 52
61 90 45
63 38 17
65 71 27
66 6 44
66 48 3
68 87 60
69 71 20
70 39 61
70 60 68
70 68 28
70 69 52
70 87 78
72 13 97
73 50 81
75 28 79
75 49 1
75 61 54
76 53 1
77 8 94
77 65 88
78 7 84
78 35 38
79 24 13
79 56 96
80 1 38
80 56 33
80 69 50
81 2 5
81 57 81
81 58 7
82 69 54
83 48 56
85 77 47
86 34 28
86 46 88
87 71 10
87 71 68
89 8 95
90 71 56
91 4 85
91 13 69
91 55 9
